epoch,train_constraint_penalty,train_loss,train_prediction_loss,val_complement_component_loss,val_complement_energy,val_constraint_violation_max,val_constraint_violation_mean,val_constraint_violation_relative_max,val_constraint_violation_relative_mean,val_loss,val_protected_component_loss,val_protected_energy,val_rollout_protected_relative_drift,val_rollout_violation_final
1,0.1566474492933433,0.1622346671405038,0.1622346671405038,0.0007964280084706843,0.0007964280084706843,6.710666179656982,2.4614369869232178,0.055110812187194824,0.028068002313375473,0.0017630625516176224,0.0009666344267316163,0.9718281030654907,53.6727409362793,3298.8271484375
2,0.00522703149808532,0.005448539602036914,0.005448539602036914,0.0002845389535650611,0.0002845389535650611,4.476118087768555,1.444169044494629,0.03681503236293793,0.016449598595499992,0.0006650445866398513,0.0003805055166594684,0.9704709053039551,48.58152389526367,2650.228515625
3,0.0027298978527027645,0.0028704445250787216,0.0028704445250787216,0.00020637684792745858,0.00020637684792745858,3.520047187805176,1.33340322971344,0.028899211436510086,0.015405438840389252,0.00047086121048778296,0.0002644843189045787,0.9751999378204346,15.38257884979248,1013.753662109375
4,0.0018166784341793886,0.001918823485830128,0.001918823485830128,0.00011928424646612257,0.00011928424646612257,2.8213367462158203,0.9912258982658386,0.023181023076176643,0.01141456700861454,0.00025868546799756587,0.0001394011778756976,0.9726175665855408,23.691293716430664,1400.0072021484375
5,0.0013129071495126164,0.001398363484124288,0.001398363484124288,7.728658965788782e-05,7.728658965788782e-05,2.471285581588745,0.7799724340438843,0.020289793610572815,0.008838159032166004,0.0001694771199254319,9.219047933584079e-05,0.9738746285438538,16.194293975830078,1043.1392822265625
6,0.0010040073738841655,0.001076929727856352,0.001076929727856352,5.7166915212292224e-05,5.7166915212292224e-05,2.171224355697632,0.6301656365394592,0.017829598858952522,0.007055539172142744,0.00012927927309647202,7.211229967651889e-05,0.9729985594749451,7.434556007385254,510.3326110839844
7,0.0008075915485812676,0.0008696568636587561,0.0008696568636587561,4.5396125642582774e-05,4.5396125642582774e-05,1.9789347648620605,0.5563151836395264,0.01624787412583828,0.006242008414119482,0.0001118408763431944,6.64446852169931e-05,0.9725812077522278,7.408031463623047,302.6922607421875
8,0.0006681603543865193,0.0007243304657954518,0.0007243304657954518,4.6801913413219154e-05,4.6801913413219154e-05,1.7990918159484863,0.5923550128936768,0.014772554859519005,0.006779288873076439,0.00010367293725721538,5.687095472239889e-05,0.9724554419517517,13.104972839355469,906.349365234375
9,0.0005672977153357955,0.0006162608915829624,0.0006162608915829624,3.669350189738907e-05,3.669350189738907e-05,1.6328296661376953,0.5251011848449707,0.01340437587350607,0.005973335821181536,8.307302778121084e-05,4.637944948626682e-05,0.9728801250457764,3.183342933654785,149.4735870361328
10,0.00048816126464383953,0.0005329884674715081,0.0005329884674715081,3.280933015048504e-05,3.280933015048504e-05,1.5577781200408936,0.485917329788208,0.012775120325386524,0.005511290859431028,7.709319470450282e-05,4.428378088050522e-05,0.9753815531730652,4.374029159545898,194.64474487304688
11,0.00042622082504120874,0.0004659047403164726,0.0004659047403164726,2.6738542146631517e-05,2.6738542146631517e-05,1.4261404275894165,0.4379465878009796,0.011705842800438404,0.004959083162248135,6.868928176118061e-05,4.195067231194116e-05,0.9725868701934814,7.683743953704834,534.5264892578125
12,0.0003759472569654285,0.00041240113162633457,0.00041240113162633457,2.3970565962372348e-05,2.3970565962372348e-05,1.333343505859375,0.4179467558860779,0.010944248177111149,0.004744487348943949,6.123010098235682e-05,3.725945498445071e-05,0.9725151062011719,4.926909923553467,356.9810791015625
13,0.00033400524858219304,0.0003674892038880178,0.0003674892038880178,2.5631108655943535e-05,2.563111047493294e-05,1.2817708253860474,0.4018397033214569,0.010510670021176338,0.0045443009585142136,6.361494888551533e-05,3.798376928898506e-05,0.975088357925415,2.833782434463501,138.33387756347656
14,0.0003002756251249933,0.0003321502101579192,0.0003321502101579192,2.139999378414359e-05,2.139999378414359e-05,1.1993733644485474,0.37962907552719116,0.00983989704400301,0.004275613464415073,5.2086455980315804e-05,3.0686380341649055e-05,0.9737489223480225,1.7520471811294556,111.53802490234375
15,0.0002715799066133488,0.0003024722254460948,0.0003024722254460948,1.7933758499566466e-05,1.7933758499566466e-05,1.1393167972564697,0.35430023074150085,0.009345931932330132,0.003993890713900328,4.653583528124727e-05,2.860200038412586e-05,0.9737692475318909,0.8557780385017395,59.20392990112305
16,0.00024785375668467117,0.0002765988617847186,0.0002765988617847186,2.3479673473048024e-05,2.3479673473048024e-05,1.1062393188476562,0.4333494305610657,0.009073982946574688,0.0049674795009195805,5.461945693241432e-05,3.113970160484314e-05,0.9738812446594238,1.1796373128890991,86.404296875
17,0.00025061671198510607,0.00028209417324367644,0.00028209417324367644,1.685902134340722e-05,1.685902134340722e-05,1.0361504554748535,0.3321395516395569,0.008495981805026531,0.00375147582963109,4.733202513307333e-05,3.047292193514295e-05,0.9754767417907715,0.7320917844772339,42.01569747924805
18,0.00023084076604594378,0.00026187274549031343,0.00026187274549031343,1.5992623957572505e-05,1.5992623957572505e-05,1.0109437704086304,0.3284359574317932,0.008301450870931149,0.0037323636934161186,4.2995055991923437e-05,2.700233926589135e-05,0.971293032169342,1.0116057395935059,72.55690002441406
19,0.0001961208781477926,0.00022607355808409362,0.00022607355808409362,2.8784561436623335e-05,2.8784561436623335e-05,1.0343164205551147,0.42760828137397766,0.008490676060318947,0.004876244813203812,6.692038004985079e-05,3.813571674982086e-05,0.9723448753356934,0.801720380783081,55.64826202392578
20,0.00018799409426786278,0.00022882554275071833,0.00022882554275071833,1.4552195352734998e-05,1.4552194443240296e-05,0.9487888216972351,0.3203865587711334,0.007785148918628693,0.0036613591946661472,4.035495294374414e-05,2.5802666641538963e-05,0.973141610622406,1.2456220388412476,94.03138732910156
